epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2249,1.5801,7.40687,1.0291,0.39648,0.19626,0.05591,0.03444,1.50572,5.52233,0.91132,0.08416,0.00016,0.00016
2,41.5804,1.15919,3.02144,0.88265,0.33484,0.23602,0.17104,0.11417,1.36976,2.68192,0.90238,0.0673235,0.000323466,0.000323466
3,54.8218,1.09327,2.48345,0.89558,0.22158,0.51697,0.28946,0.20661,1.30012,4.90948,0.91892,0.0504802,0.0004802,0.0004802
4,65.5197,1.06218,2.12541,0.90167,0.31173,0.53593,0.3914,0.26544,1.33414,4.67496,0.90343,0.0336302,0.000630202,0.000630202
5,79.6339,1.11797,1.94231,0.88129,0.24152,0.39915,0.31394,0.23673,1.1536,2.2775,0.86973,0.0167735,0.000773472,0.000773472
6,93.8247,1.08841,1.90116,0.8895,0.33753,0.48849,0.32943,0.22301,1.20177,62.9039,0.87442,0.000901,0.000901,0.000901
7,108.314,1.08229,1.68178,0.90907,0.34601,0.37789,0.21226,0.15832,1.20527,inf,0.85872,0.0008812,0.0008812,0.0008812
8,122.83,1.0942,1.66516,0.89697,0.44235,0.48162,0.4661,0.34083,1.22953,1.95626,0.87349,0.0008614,0.0008614,0.0008614
9,137.385,1.03783,1.53558,0.87863,0.36132,0.53095,0.41169,0.28511,1.19377,1.93041,0.86306,0.0008416,0.0008416,0.0008416
10,153.493,1.0229,1.46805,0.87349,0.35911,0.50699,0.40809,0.30547,0.99769,1.76414,0.82605,0.0008218,0.0008218,0.0008218
11,165.303,0.98924,1.40205,0.8555,0.45411,0.49717,0.43335,0.34248,0.86276,1.49097,0.81253,0.000802,0.000802,0.000802
12,179.777,0.93381,1.27932,0.86194,0.42306,0.45444,0.4611,0.34955,0.94414,1.78657,0.81976,0.0007822,0.0007822,0.0007822
13,194.169,0.94432,1.3243,0.84667,0.46544,0.48396,0.49413,0.37931,0.9632,1.67766,0.81835,0.0007624,0.0007624,0.0007624
14,208.428,0.91641,1.31011,0.86114,0.43689,0.60004,0.53876,0.42707,0.89024,1.54699,0.81563,0.0007426,0.0007426,0.0007426
15,222.658,0.89789,1.26232,0.85293,0.51857,0.48018,0.52818,0.37825,1.11182,1.56501,0.85302,0.0007228,0.0007228,0.0007228
16,238.545,0.8757,1.2196,0.85672,0.4821,0.50372,0.54428,0.4122,0.91792,1.33272,0.82294,0.000703,0.000703,0.000703
